Disease,Causes,Symptoms,Risk Factors,Treatment Options
Skin Tag,"Non-cancerous, small outgrowth of skin often occurring in skin folds.","Small, soft, flesh-colored outgrowth of skin, often on the neck, armpits, or groin.","Friction, genetics, obesity.","Surgical removal (if desired for cosmetic reasons), cryotherapy, ligation."
Small Pox,Contagious viral infection causing fever and a distinctive rash with pustules.,"Fever, rash with red spots, which progress to fluid-filled pustules.","Variola virus (eradicated, no longer exists in nature).","Vaccination (historically), supportive care, antiviral medications (in case of bioterrorism)."
Spider_angioma,Benign growth of blood vessels causing a red spider-like appearance on the skin.,"Red, spider-like appearance with a central red spot and radiating blood vessels.","Unknown cause, possibly related to liver disease or hormone fluctuations.","Laser therapy, electrocautery, sclerotherapy."
squamous-cell-carcinoma,Common form of skin cancer arising from squamous cells in the epidermis.,"Red, scaly, or crusty lesions, often with central ulceration.","UV radiation exposure, genetics, immunosuppression.","Surgical excision, Mohs surgery, radiation therapy."
Stasis_dermatitis,Skin inflammation occurring in the lower legs due to poor circulation.,"Red, swollen, itchy skin, often on the lower legs.","Venous insufficiency, circulation problems.","Compression therapy, elevating legs, topical corticosteroids, managing underlying conditions."
Stucco keratoses,"Common benign growths on the skin, resembling warts or seborrheic keratoses.","Gray or tan, warty growths on the skin, often on the legs.","Unknown cause, possibly related to sun exposure or aging.","No treatment necessary (cosmetic removal if desired), cryotherapy, laser therapy."
Sun-Damaged-Skin,"Skin damage caused by prolonged sun exposure, leading to premature aging and other issues.","Wrinkles, dryness, age spots, and changes in skin texture.",UV radiation exposure.,"Sun protection (sunscreen, protective clothing, avoiding sun exposure), moisturizing, cosmetic treatments (e.g., chemical peels)."
Syringoma,"Benign tumors of sweat ducts, appearing as small, flesh-colored bumps.","Firm, skin-colored or yellowish bumps, often around the eyes.","Genetic factors, sweat gland abnormalities.","Surgical removal (if desired for cosmetic reasons), laser therapy, electrodessication."
Telangiectasis,"Dilated small blood vessels near the surface of the skin, causing red or blue spider-like patterns.","Red or blue spider-like patterns on the skin, often on the face or legs.","Genetics, aging, sun exposure, certain medical conditions.","Laser therapy, electrocautery, sclerotherapy."
Tick-bite,"Bite from a tick, a small arachnid that can transmit various diseases to humans.","Redness, swelling, and sometimes a bulls-eye rash at the site of the tick bite.","Ticks (Ixodes, Dermacentor, Amblyomma species).","Tick removal, cleaning the bite area, monitoring for signs of tick-borne diseases."
Tinea_beard,"Fungal infection of facial hair follicles, causing itching and redness.","Itching, redness, and scaling of facial hair, often in the beard area.",Trichophyton or Microsporum fungi.,"Antifungal medications (topical or oral), keeping the area clean and dry."
Tinea_body,"Fungal infection of the body (except groin, hands, and feet), causing itchy, red, and scaly patches.","Itching, redness, and scaly patches on the body, often with defined borders.","Trichophyton, Microsporum, or Epidermophyton fungi.","Antifungal medications (topical or oral), keeping the area clean and dry."
Tinea_face,"Fungal infection of the face, causing red, itchy, and scaly patches.","Itching, redness, and scaly patches on the face, often with defined borders.","Trichophyton, Microsporum, or Epidermophyton fungi.","Antifungal medications (topical or oral), keeping the area clean and dry."
Tinea_foot_dorsum,"Fungal infection of the top of the foot, causing itching and redness.","Itching, redness, and scaling on the top of the foot.","Trichophyton, Microsporum, or Epidermophyton fungi.","Antifungal medications (topical or oral), keeping the feet clean and dry."
Tinea_foot_plantar,"Fungal infection of the soles of the feet, causing itching, redness, and scaling.","Itching, redness, and scaling on the soles of the feet.","Trichophyton, Microsporum, or Epidermophyton fungi.","Antifungal medications (topical or oral), keeping the feet clean and dry."
Tinea_foot_webs,"Fungal infection occurring between the toes, causing itching and peeling.","Itching, peeling, and redness between the toes.","Trichophyton, Microsporum, or Epidermophyton fungi.","Antifungal medications (topical or oral), keeping the feet clean and dry."
Tinea_groin,"Fungal infection of the groin area (jock itch), causing itching and redness.","Itching, redness, and scaling in the groin area, often in a circular pattern.","Trichophyton, Microsporum, or Epidermophyton fungi.","Antifungal medications (topical or oral), keeping the area clean and dry."
Tinea_hand_dorsum,"Fungal infection of the back of the hands, causing itching, redness, and scaling.","Itching, redness, and scaling on the back of the hands.","Trichophyton, Microsporum, or Epidermophyton fungi.","Antifungal medications (topical or oral), keeping the hands clean and dry."
Tinea_incognito,Fungal infection that becomes altered or masked due to inappropriate use of topical steroids.,"Variable skin changes (redness, thinning, pustules) due to improper steroid use.","Trichophyton, Microsporum, or Epidermophyton fungi.","Discontinuing steroids, antifungal medications (topical or oral), medical supervision."
Tinea_laboratory,Fungal infection occurring in laboratory workers due to contact with contaminated animals or equipment.,"Itching, redness, and scaling on the skin, often on the hands and arms.","Trichophyton, Microsporum, or Epidermophyton fungi.","Antifungal medications (topical or oral), wearing protective clothing and gloves, proper hygiene."
Tinea_palm,"Fungal infection of the palms, causing itching, redness, and scaling.","Itching, redness, and scaling on the palms of the hands.","Trichophyton, Microsporum, or Epidermophyton fungi.","Antifungal medications (topical or oral), keeping the hands clean and dry."
Tinea_primary_lesion,"Initial stage of a fungal infection on the skin, presenting as a red, scaly patch.","Red, scaly patch of skin, often with defined borders.","Trichophyton, Microsporum, or Epidermophyton fungi.","Antifungal medications (topical or oral), keeping the area clean and dry."
Tinea_scalp,"Fungal infection of the scalp, leading to itchy, red, and scaly patches.","Itching, redness, and scaling on the scalp, often with hair loss.","Trichophyton, Microsporum, or Epidermophyton fungi.","Antifungal medications (topical or oral), medicated shampoos, keeping the scalp clean and dry."
Tinea_versicolor,"Fungal infection causing discolored patches on the skin, often in hot and humid weather.","Light or dark patches on the skin, often on the chest, back, and neck.",Malassezia yeast.,"Antifungal medications (topical or oral), medicated shampoos, avoiding triggers (heat, humidity)."
Tuberous,"Benign growths in the skin, brain, kidneys, or other organs, causing various symptoms.","Skin nodules or growths, neurological symptoms, kidney problems (in different forms of tuberous sclerosis).","TSC1, TSC2 gene mutations.","Managing symptoms, surgery (if necessary), targeted treatments (e.g., mTOR inhibitors)."
Urtiaria_Vasculitis,"Inflammation of blood vessels leading to hives, often due to an underlying condition.","Hives (urticaria), often with red patches, caused by blood vessel inflammation.","Autoimmune disorders, infections, medications.","Treating underlying condition, antihistamines, corticosteroids."
Varicella,Highly contagious viral infection causing an itchy rash and flu-like symptoms.,"Fever, itchy rash with red spots and blisters, headache, fatigue.",Varicella-zoster virus (human herpesvirus 3).,"Vaccination (varicella vaccine), supportive care, antiviral medications (in certain cases)."
Vasculitis,"Inflammation of blood vessels, leading to skin rash, pain, and other symptoms.","Skin rash, pain, ulcers, often due to blood vessel inflammation.","Autoimmune disorders, infections, medications.","Corticosteroids, immunosuppressive medications, treating underlying causes."
Venous_lake,"Dilated veins in the skin, often on the lips or ears, causing dark blue or purple spots.","Dark blue or purple spots on the skin, often on the lips or ears.",Dilated veins near the skin surface.,"No treatment necessary (cosmetic removal if desired), laser therapy, electrocautery."
Venous_malformations,"Malformation of veins, leading to visible, enlarged veins under the skin.","Visible, enlarged veins often with a bluish or purplish color.",Malformation of veins during development.,"No treatment necessary (cosmetic removal if desired), laser therapy, sclerotherapy."
Viral-exanthems,"Rash on the skin caused by a viral infection, often seen in children.","Red or pink rash with various shapes and sizes, caused by viral infections.","Various viruses (e.g., measles, rubella, roseola).","Treating underlying viral infection, managing symptoms (e.g., antipyretics)."
Warts,"Common benign growths on the skin, caused by human papillomavirus (HPV) infection.","Flesh-colored, raised growths with a rough surface.",Human papillomavirus (HPV) infection.,"Cryotherapy, salicylic acid treatments, laser therapy, immunotherapy, surgical removal."
Warts_common,"Common type of warts, appearing on various parts of the body.","Flesh-colored, raised growths with a rough surface.",Human papillomavirus (HPV) infection.,"Cryotherapy, salicylic acid treatments, laser therapy, immunotherapy, surgical removal."
Warts_cryotherapy,"Warts treated using cryotherapy, freezing them with liquid nitrogen.",Application of liquid nitrogen to freeze and remove warts.,Human papillomavirus (HPV) infection.,"Cryotherapy (liquid nitrogen application), repeat treatments if necessary."
Warts_digitate,"Finger-like or stalk-like warts, often appearing on the face or neck.","Finger-like or stalk-like growths on the skin, often on the face or neck.",Human papillomavirus (HPV) infection.,"Cryotherapy, salicylic acid treatments, laser therapy, immunotherapy, surgical removal."
Warts_flat,"Flat warts with smooth surfaces, often appearing in clusters.","Flat, smooth, flesh-colored warts often appearing in clusters.",Human papillomavirus (HPV) infection.,"Cryotherapy, salicylic acid treatments, laser therapy, immunotherapy, surgical removal."
Warts_immunocompromised,Warts occurring in individuals with weakened immune systems.,"Warts that are larger, more numerous, or harder to treat in immunocompromised individuals.","Human papillomavirus (HPV) infection, weakened immune response.","Topical treatments, cryotherapy, laser therapy, immunotherapy, surgical removal."
Warts_oral,"Warts occurring in the mouth, throat, or oral cavity.","Warts inside the mouth, throat, or on the lips or tongue.",Human papillomavirus (HPV) infection.,"Topical treatments (for external warts), cryotherapy, laser therapy, immunotherapy, surgical removal."
Warts_periungual,"Warts occurring around the nails, often painful and difficult to treat.","Warts around the nails, often causing pain and distortion of the nail.",Human papillomavirus (HPV) infection.,"Topical treatments, cryotherapy, laser therapy, immunotherapy, surgical removal."
Warts_plantar,"Warts occurring on the soles of the feet, often flat and painful.","Flat, painful warts on the soles of the feet.",Human papillomavirus (HPV) infection.,"Topical treatments, cryotherapy, laser therapy, immunotherapy, surgical removal."
Xanthomas,"Fatty deposits under the skin, resulting in yellowish nodules or plaques.","Yellowish nodules or plaques under the skin, often on joints or tendons.",Hyperlipidemia (elevated blood lipid levels).,"Managing underlying lipid disorder, surgical removal (for cosmetic reasons), medications (statins)."
